Model,SFX,Chasis,Engine No.,Color code,PROD Month,PO AMS,STATUS,ETA Import
FJA300L-GNUZYV,D6,JTMAA7BJ404012788,F33A   0016662,21820,202202,10516,DELIVERED,14/04/2022
FJA300L-GNUZYV,D6,JTMAA7BJ704012929,F33A   0016870,4V820,202202,10624,DELIVERED,14/04/2022
GDJ150L-GKTEY,E2,JTEBR9FJ005019357,1GD    8904413,21822,202202,10581,DELIVERED,14/04/2022
GDJ150L-GKTEY,E2,JTEBR9FJX0K254270,1GD-8909540,21822,202202,10481,DELIVERED,19/04/2022
GDJ150L-GKTEY,E2,JTEBR9FJX0K254818,1GD-8911733,21822,202202,10481,DELIVERED,19/04/2022
GDJ150L-GKTEY,E2,JTEBR9FJ40K253888,1GD-8908457,21822,202202,10481,DELIVERED,19/04/2022
GDJ150L-GKTEY,E2,JTEBR9FJ00K254326,1GD-8909721,1G322,202202,10504,DELIVERED,19/04/2022
GDJ150L-GKTEY,E2,JTEBR9FJ40K254300,1GD-8909904,4V822,202202,10504,DELIVERED,19/04/2022
GDJ150L-GKTEY,E2,JTEBR9FJ40K254281,1GD-8909336,4X422,202202,10626,DELIVERED,19/04/2022
GDJ150L-GKTEY,F6,JTEBR3FJ80K251946,1GD    8901348,21822,202202,10685,DELIVERED,14/04/2022
GDJ150L-GKTEY,F6,JTEBR3FJ40K252494,1GD    8903180,21822,202202,10685,DELIVERED,14/04/2022
GDJ150L-GKTEY,F6,JTEBR3FJ70K253154,1GD    8905704,21822,202202,10685,DELIVERED,14/04/2022
GDJ150L-GKTEY,F6,JTEBR3FJ50K253623,1GD    8896210,21822,202202,10710,DELIVERED,14/04/2022
GDJ150L-GKTEY,F6,JTEBR3FJ805019510,1GD-8910608,21822,202202,10685,DELIVERED,19/04/2022
GDJ150L-GKTEY,F6,JTEBR3FJX0K254881,1GD-8911687,21822,202202,10685,DELIVERED,19/04/2022
GDJ150L-GKTEY,F6,JTEBR3FJ60K254098,1GD-8909010,21822,202202,10685,DELIVERED,19/04/2022
GDJ150L-GKTEY,F6,JTEBR3FJ60K254327,1GD-8909726,21822,202202,10511,DELIVERED,19/04/2022
GDJ150L-GKTEY,F6,JTEBR3FJ105019400,1GD    8907308,1G322,202202,10511,DELIVERED,14/04/2022
GDJ150L-GKTEY,F6,JTEBR3FJ50K250785,1GD    8897456,4V822,202202,10511,DELIVERED,14/04/2022
GDJ150L-GKTEY,F6,JTEBR3FJ20K253577,1GD    8907238,4V822,202202,10758,DELIVERED,14/04/2022
GDJ150L-GKTEY,F7,JTEBR3FJ205019373,1GD    8904843,21822,202202,10650,DELIVERED,14/04/2022
GDJ150L-GKTEY,F7,JTEBR3FJ50K254058,1GD-8901478,21822,202202,10550,DELIVERED,19/04/2022
GDJ150L-GKTEY,F7,JTEBR3FJ10K251755,1GD    8900384,1G322,202202,10550,DELIVERED,14/04/2022
GDJ150L-GKTEY,F7,JTEBR3FJ60K252724,1GD    8903865,1F722,202202,10550,DELIVERED,14/04/2022
GDJ150L-GKTEY,F7,JTEBR3FJ60K251296,1GD    8899057,4X422,202202,10675,DELIVERED,14/04/2022
GDJ150L-GKTEY,F7,JTEBR3FJ10K253313,1GD    8906041,4V822,202202,10550,DELIVERED,14/04/2022
HZB70L-ZGMSS,F0,JTGABAB8506710048,1HZ-0999702,5810,202202,10415,DELIVERED,19/03/2022
HZB70L-ZGMSS,F0,JTGABAB8406710039,1HZ-0999504,5810,202202,10415,DELIVERED,19/03/2022
HZB70L-ZGMSS,F0,JTGABAB8706710052,1HZ-0999773,5810,202202,10415,DELIVERED,19/03/2022
HZB70L-ZGMSS,F0,JTGABAB8206710041,1HZ-0999592,5810,202202,10415,DELIVERED,19/03/2022
HZB70L-ZGMSS,F0,JTGABAB8X06710059,1HZ    1000019,5810,202202,10472,DELIVERED,14/04/2022
HZB70L-ZGMSS,F0,JTGABAB8906710067,1HZ    1000202,5810,202202,10472,DELIVERED,14/04/2022
HZB70L-ZGMSS,F0,JTGABAB8906710070,1HZ    1000247,5810,202202,10472,DELIVERED,14/04/2022
HZB70L-ZGMSS,F0,JTGABAB8006710071,1HZ    1000194,5810,202202,10472,DELIVERED,14/04/2022
HZB70L-ZGMSS,F0,JTGABAB8606710107,1HZ    1001055,5810,202202,10472,DELIVERED,14/04/2022
HZB70L-ZGMSS,F0,JTGABAB8606710110,1HZ    1001186,5810,202202,10472,DELIVERED,14/04/2022
HZB70L-ZGMSS,F0,JTGABAB8306710131,1HZ-1001867,5810,202202,10613,DELIVERED,19/04/2022
HZJ76L-RKMRS,H0,JTEEB71J00F017843,1HZ    1001299,5810,202202,10471,DELIVERED,14/04/2022
HZJ76L-RKMRS,H0,JTEEB71J70F017869,1HZ    1001398,5810,202202,10471,DELIVERED,14/04/2022
HZJ76L-RKMRS,H0,JTEEB71J30F017903,1HZ    1001594,5810,202202,10470,DELIVERED,14/04/2022
HZJ76L-RKMRS,H0,JTEEB71JX0F017915,1HZ    1001631,5810,202202,10470,DELIVERED,14/04/2022
HZJ76L-RKMRS,H0,JTEEB71J10F017947,1HZ    1001711,5810,202202,10470,DELIVERED,14/04/2022
HZJ76L-RKMRS,H0,JTEEB71J70F018004,1HZ    1001982,5810,202202,10470,DELIVERED,14/04/2022
HZJ76L-RKMRS,H0,JTEEB71J40F018106,1HZ-1002400,5810,202202,10469,DELIVERED,19/04/2022
HZJ76L-RKMRS,H0,JTEEB71J50F018082,1HZ-1002287,5810,202202,10469,DELIVERED,19/04/2022
HZJ76L-RKMRS,H1,JTEEB71J30F017948,1HZ    1001664,5810,202202,10498,DELIVERED,14/04/2022
HZJ76L-RKMRS,H1,JTEEB71J10F017950,1HZ    1001665,5810,202202,10498,DELIVERED,14/04/2022
HZJ76L-RKMRS,H1,JTEEB71JX0F017980,1HZ    1001770,5810,202202,10498,DELIVERED,14/04/2022
HZJ76L-RKMRS,H1,JTEEB71J10F018113,1HZ-1002432,5810,202202,10475,DELIVERED,19/04/2022
HZJ76L-RKMRS,H1,JTEEB71J00F018006,1HZ-1001972,5810,202202,10475,DELIVERED,19/04/2022
HZJ76L-RKMRS,H1,JTEEB71J00F018068,1HZ-1002203,5810,202202,10469,DELIVERED,19/04/2022
HZJ76L-RKMRS,H1,JTEEB71J20F018007,1HZ-1001970,5810,202202,10469,DELIVERED,19/04/2022
HZJ76L-RKMRS,H1,JTEEB71J40F018008,1HZ-1001973,5810,202202,10499,DELIVERED,19/04/2022
HZJ76L-RKMRS,H1,JTEEB71J20F018038,1HZ-1002103,5810,202202,10499,DELIVERED,19/04/2022
HZJ76L-RKMRS,H1,JTEEB71J70F018066,1HZ-1002199,5810,202202,10499,DELIVERED,19/04/2022
HZJ76L-RKMRS,H1,JTEEB71J30F018064,1HZ-1002201,5810,202202,10510,DELIVERED,19/04/2022
HZJ76L-RKMRS,H1,JTEEB71J90F018067,1HZ-1002202,5810,202202,10510,DELIVERED,19/04/2022
HZJ76L-RKMRS,H1,JTEEB71J30F018081,1HZ-1002210,5810,202202,10510,DELIVERED,19/04/2022
HZJ76L-RKMRS,H1,JTEEB71J00F018037,1HZ-1002097,5810,202202,10510,DELIVERED,19/04/2022
HZJ76L-RKMRS,H1,JTEEB71J80F018111,1HZ-1002357,5810,202202,10510,DELIVERED,19/04/2022
HZJ76L-RKMRS,H1,JTEEB71JX0F018112,1HZ-1002398,5810,202202,10510,DELIVERED,19/04/2022
HZJ76L-RKMRS,H1,JTEEB71J60F018110,1HZ-1002373,5810,202202,10510,DELIVERED,19/04/2022
HZJ78L-RJMRS,H2,JTERB71J60F017413,1HZ    0998887,5810,202202,10879,DELIVERED,14/04/2022
HZJ78L-RJMRS,H2,JTERB71J10F017416,1HZ    1000774,5810,202202,10880,DELIVERED,14/04/2022
HZJ78L-RJMRS,H2,JTERB71J50F017418,1HZ    1000770,5810,202202,10879,DELIVERED,14/04/2022
HZJ78L-RJMRS,H2,JTERB71J40F017426,1HZ    1000869,5810,202202,10879,DELIVERED,14/04/2022
HZJ78L-RJMRS,H2,JTERB71J70F017436,1HZ    1001027,5810,202202,10469,DELIVERED,14/04/2022
HZJ78L-RJMRS,H2,JTERB71J90F017437,1HZ    1001034,5810,202202,10469,DELIVERED,14/04/2022
HZJ78L-RJMRS,H2,JTERB71J90F017440,1HZ    1001085,5810,202202,10469,DELIVERED,14/04/2022
HZJ78L-RJMRS,H2,JTERB71J50F017449,1HZ    1001145,5810,202202,10503,DELIVERED,14/04/2022
HZJ78L-RJMRS,H2,JTERB71J30F017451,1HZ    1001148,5810,202202,10503,DELIVERED,14/04/2022
HZJ78L-RJMRS,H2,JTERB71J50F017452,1HZ    1001152,5810,202202,10477,DELIVERED,14/04/2022
HZJ78L-RJMRS,H2,JTERB71J90F017454,1HZ    1001164,5810,202202,10461,DELIVERED,14/04/2022
HZJ78L-RJMRS,H2,JTERB71J00F017469,1HZ    1001273,5810,202202,10461,DELIVERED,14/04/2022
HZJ78L-RJMRS,H2,JTERB71J70F017470,1HZ    1001275,5810,202202,10490,DELIVERED,14/04/2022
HZJ78L-RJMRS,H2,JTERB71J00F017472,1HZ    1001278,5810,202202,10490,DELIVERED,14/04/2022
HZJ78L-RJMRS,H2,JTERB71J40F017474,1HZ    1001297,5810,202202,10497,DELIVERED,14/04/2022
HZJ78L-RJMRS,H2,JTERB71J60F017475,1HZ    1001300,5810,202202,10497,DELIVERED,14/04/2022
HZJ78L-RJMRS,H2,JTERB71J20F017487,1HZ    1001385,5810,202202,10497,DELIVERED,14/04/2022
HZJ78L-RJMRS,H2,JTERB71J40F017488,1HZ    1001388,5810,202202,10500,DELIVERED,14/04/2022
HZJ78L-RJMRS,H2,JTERB71J20F017490,1HZ    1001360,5810,202202,10500,DELIVERED,14/04/2022
HZJ78L-RJMRS,H2,JTERB71J60F017492,1HZ    1001401,5810,202202,10500,DELIVERED,14/04/2022
HZJ78L-RJMRS,H2,JTERB71J80F017493,1HZ    1001402,5810,202202,10500,DELIVERED,14/04/2022
HZJ78L-RJMRS,H2,JTERB71J10F017495,1HZ    1001421,5810,202202,10500,DELIVERED,14/04/2022
HZJ78L-RJMRS,H2,JTERB71J40F017510,1HZ    1001572,5810,202202,10500,DELIVERED,14/04/2022
HZJ78L-RJMRS,H2,JTERB71J60F017511,1HZ    1001558,5810,202202,10500,DELIVERED,14/04/2022
HZJ78L-RJMRS,H2,JTERB71JX0F017513,1HZ    1001603,5810,202202,10500,DELIVERED,14/04/2022
HZJ78L-RJMRS,H2,JTERB71J70F017517,1HZ    1001627,5810,202202,10537,DELIVERED,14/04/2022
HZJ78L-RJMRS,H2,JTERB71J00F017519,1HZ    1001638,5810,202202,10537,DELIVERED,14/04/2022
HZJ78L-RJMRS,H2,JTERB71J90F017521,1HZ    1001642,5810,202202,10537,DELIVERED,14/04/2022
HZJ78L-RJMRS,H2,JTERB71J30F017532,1HZ    1001717,5810,202202,10537,DELIVERED,14/04/2022
HZJ78L-RJMRS,H2,JTERB71J70F017534,1HZ    1001719,5810,202202,10537,DELIVERED,14/04/2022
HZJ78L-RJMRS,H2,JTERB71J90F017535,1HZ    1001732,5810,202202,10533,DELIVERED,14/04/2022
HZJ78L-RJMRS,H2,JTERB71J20F017618,1HZ-1002286,5810,202202,10532,DELIVERED,19/04/2022
HZJ78L-RJMRS,H2,JTERB71J00F017617,1HZ-1002277,5810,202202,10532,DELIVERED,19/04/2022
HZJ79L-DKMRS,H6,JTEBB71J50B036351,1HZ    1000177,5810,202202,10386,DELIVERED,14/04/2022
HZJ79L-DKMRS,H6,JTEBB71J30B036381,1HZ    1000244,5810,202202,10537,DELIVERED,14/04/2022
HZJ79L-DKMRS,H6,JTEBB71JX0B036491,1HZ    1000495,5810,202202,10537,DELIVERED,14/04/2022
HZJ79L-DKMRS,H6,JTEBB71J20B036551,1HZ    1000631,5810,202202,10537,DELIVERED,14/04/2022
HZJ79L-DKMRS,H6,JTEBB71J30B036557,1HZ    1000678,5810,202202,10478,DELIVERED,14/04/2022
HZJ79L-DKMRS,H6,JTEBB71J60B036617,1HZ    1000802,5810,202202,10478,DELIVERED,14/04/2022
HZJ79L-DKMRS,H6,JTEBB71J80B036621,1HZ    1000804,5810,202202,10478,DELIVERED,14/04/2022
HZJ79L-DKMRS,H6,JTEBB71J60B036813,1HZ    1001223,5810,202202,10474,DELIVERED,14/04/2022
HZJ79L-TJMRS,H5,JTELB71J90B037006,1HZ    1001623,5810,202202,10475,DELIVERED,14/04/2022
HZJ79L-TJMRS,H5,JTELB71J20B037008,1HZ    1001625,5810,202202,10475,DELIVERED,14/04/2022
HZJ79L-TJMRS,H5,JTELB71J80B037028,1HZ    1001368,5810,202202,10475,DELIVERED,14/04/2022
HZJ79L-TJMRS,H5,JTELB71JX0B037029,1HZ    1001690,5810,202202,10475,DELIVERED,14/04/2022
HZJ79L-TJMRS,H5,JTELB71J80B037031,1HZ    0999835,5810,202202,10475,DELIVERED,14/04/2022
HZJ79L-TJMRS,H5,JTELB71J10B037033,1HZ    0999833,5810,202202,10475,DELIVERED,14/04/2022
HZJ79L-TJMRS,H5,JTELB71J10B037078,1HZ    1001739,5810,202202,10598,DELIVERED,14/04/2022
HZJ79L-TJMRS,H5,JTELB71J30B037079,1HZ    1001741,5810,202202,10598,DELIVERED,14/04/2022
HZJ79L-TJMRS,H5,JTELB71J30B037082,1HZ    1001744,5810,202202,10628,DELIVERED,14/04/2022
HZJ79L-TJMRS,H5,JTELB71J00B037413,1HZ-1002445,5810,202202,10480,DELIVERED,19/04/2022
HZJ79L-TJMRS,H5,JTELB71J40B037415,1HZ-1002450,5810,202202,10480,DELIVERED,19/04/2022
HZJ79L-TJMRS,H5,JTELB71J10B037405,1HZ-1002423,5810,202202,10480,DELIVERED,19/04/2022
HZJ79L-TJMRS,H5,JTELB71J50B037360,1HZ-1002343,5810,202202,10556,DELIVERED,19/04/2022
HZJ79L-TJMRS,H5,JTELB71J70B037361,1HZ-1002345,5810,202202,10556,DELIVERED,19/04/2022
HZJ79L-TJMRS,H5,JTELB71J50B037407,1HZ-1002424,5810,202202,10556,DELIVERED,19/04/2022
HZJ79L-TJMRS,H5,JTELB71J50B037357,1HZ-1002334,5810,202202,10507,DELIVERED,19/04/2022
HZJ79L-TJMRS,H5,JTELB71J90B037328,1HZ-1002271,5810,202202,10507,DELIVERED,19/04/2022
HZJ79L-TJMRS,H5,JTELB71J90B037331,1HZ-1002152,5810,202202,10507,DELIVERED,19/04/2022
HZJ79L-TJMRS,H5,JTELB71J00B037329,1HZ-1002274,5810,202202,10507,DELIVERED,19/04/2022
HZJ79L-TJMRS,H5,JTELB71J00B037315,1HZ-1002256,5810,202202,10579,DELIVERED,
MXAA52L-ANXXB,A3,JTMZ43FV90D117990,M20A-V409811,21840,202202,10430,DELIVERED,19/03/2022
MXAA52L-ANXXB,A3,JTMZ43FVX0D121062,M20A   V416044, 8X820,202202,10540,DELIVERED,14/04/2022
MXAA52L-ANXXB,A3,JTMZ43FV40D121932,M20A   V418068,1D640,202202,10540,DELIVERED,14/04/2022
MXAA54L-ANXGB,L2,JTMD43FV50D029478,M20A-V409266,7020,202202,10688,DELIVERED,19/03/2022
MXAA54L-ANXGB,L2,JTMD43FV10D030871,M20A   V417578,7020,202202,10508,DELIVERED,14/04/2022
MXAA54L-ANXGB,L2,JTMD43FV20D031074,M20A   V418783,7020,202202,10508,DELIVERED,14/04/2022
MXAA54L-ANXGB,L2,JTMD43FV90D030956,M20A   V418268,1G320,202202,10549,DELIVERED,14/04/2022
MXAA54L-ANXGB,L2,JTMD43FV20D030703,M20A   V416396,21820,202202,10508,DELIVERED,14/04/2022
MXAA54L-ANXGB,L2,JTMD43FV90D031041,M20A   V418832,21820,202202,10508,DELIVERED,14/04/2022
MXAA54L-ANXGB,L2,JTMD43FV20D030961,M20A   V418211, 1D620,202202,10508,DELIVERED,14/04/2022
MXAA54L-ANXMB,C1,JTMR43FV80D030310,M20A-V413546,1G320,202202,10411,DELIVERED,19/03/2022
MXAA54L-ANXMB,C1,JTMR43FVX0D030776,M20A   V416926,21820,202202,10719,DELIVERED,14/04/2022
MXAA54L-ANXMB,C1,JTMR43FV90D031093,M20A   V419014,21820,202202,10719,DELIVERED,14/04/2022
MXAA54L-ANXMB,C1,JTMR43FV30D029968,M20A-V411745, 6X320,202202,10411,DELIVERED,19/03/2022
